Week,Team,lag_team_ra,Opp,lag_opp_ra,Result,FFF_predict
1,WAS,NULL,ARI,NULL,W,NULL
2,NYG,34.060000,ARI,73.580000,W,L
3,DAL,116.210000,ARI,84.850000,L,W
4,SFO,115.246666,ARI,89.986666,W,W
5,CIN,69.380000,ARI,91.215000,W,L
6,LAR,101.468000,ARI,87.160000,W,W
7,SEA,94.296000,ARI,84.466666,W,W
8,BAL,97.600000,ARI,81.562857,W,W
9,CLE,88.282857,ARI,83.632500,W,W
10,ATL,86.211111,ARI,76.364444,L,W
11,HOU,100.997777,ARI,77.574000,W,W
12,LAR,86.430000,ARI,76.690909,W,W
13,PIT,76.818181,ARI,74.303333,L,W
15,SFO,107.655384,ARI,73.918461,W,W
16,CHI,83.127142,ARI,75.327142,W,W
17,PHI,96.442666,ARI,76.405333,L,W
18,SEA,84.517500,ARI,79.416250,W,W
1,CAR,NULL,ATL,NULL,L,NULL
2,GNB,116.300000,ATL,85.100000,L,W
3,DET,103.420000,ATL,94.190000,W,W
4,JAX,91.500000,ATL,80.806666,W,W
5,HOU,104.055000,ATL,77.215000,L,W
6,WAS,89.872000,ATL,81.160000,W,W
7,TAM,85.844000,ATL,84.746666,L,W
8,TEN,76.586666,ATL,84.925714,W,L
9,MIN,105.155000,ATL,84.010000,W,W
10,ARI,76.364444,ATL,86.211111,W,L
12,NOR,91.620000,ATL,83.970000,L,W
13,NYJ,70.601818,ATL,82.910909,L,L
14,TAM,83.966666,ATL,80.688333,W,W
15,CAR,70.332307,ATL,81.218461,W,L
16,IND,90.462857,ATL,79.072857,L,W
17,CHI,83.785333,ATL,81.112000,W,W
18,NOR,87.967500,ATL,79.975000,W,W
1,HOU,NULL,BAL,NULL,L,NULL
2,CIN,42.080000,BAL,79.460000,L,L
3,IND,86.880000,BAL,93.170000,W,L
4,CLE,100.973333,BAL,90.873333,L,W
5,PIT,74.905000,BAL,93.290000,W,L
6,TEN,79.972000,BAL,90.180000,L,L
7,DET,110.020000,BAL,91.870000,L,W
8,ARI,81.562857,BAL,97.600000,L,L
9,SEA,93.571428,BAL,97.147500,L,L
10,CLE,91.805000,BAL,99.984444,W,L
11,CIN,92.324444,BAL,99.048000,L,L
12,LAC,103.002000,BAL,98.649090,L,W
14,LAR,89.643333,BAL,97.118333,L,L
15,JAX,91.961538,BAL,97.458461,L,L
16,SFO,109.285714,BAL,97.071428,L,W
17,MIA,109.577333,BAL,98.358666,L,W
18,PIT,77.856250,BAL,101.051250,W,L
1,NYJ,NULL,BUF,NULL,W,NULL
2,LVR,82.100000,BUF,85.740000,L,L
3,WAS,99.970000,BUF,106.750000,L,L
4,MIA,142.620000,BUF,112.873333,L,W
5,JAX,95.070000,BUF,120.005000,W,L
6,NYG,64.172000,BUF,115.916000,L,L
7,NWE,70.530000,BUF,108.923333,W,L
8,TAM,86.086666,BUF,107.520000,L,L
9,CIN,88.131428,BUF,109.437500,W,L
10,DEN,84.327500,BUF,107.157777,W,L
11,NYJ,78.580000,BUF,104.920000,L,L
12,PHI,105.068000,BUF,105.909090,W,L
14,KAN,93.498333,BUF,105.821666,L,L
15,DAL,110.869230,BUF,102.929230,L,W
16,LAC,89.465714,BUF,102.217142,L,L
17,NWE,72.802666,BUF,101.268000,L,L
18,MIA,107.771250,BUF,100.536250,L,W
1,ATL,NULL,CAR,NULL,W,NULL
2,NOR,102.200000,CAR,65.440000,W,W
3,SEA,86.600000,CAR,74.580000,W,W
4,MIN,111.233333,CAR,86.800000,W,W
5,DET,107.215000,CAR,85.340000,W,W
6,MIA,128.732000,CAR,85.428000,W,W
8,HOU,95.406666,CAR,84.553333,L,W
9,IND,95.015000,CAR,84.345714,W,W
10,CHI,85.544444,CAR,83.030000,W,W
11,DAL,113.511111,CAR,80.515555,W,W
12,TEN,75.150000,CAR,76.226000,W,L
13,TAM,85.147272,CAR,73.674545,W,W
14,NOR,87.338333,CAR,72.203333,W,W
15,ATL,81.218461,CAR,70.332307,L,W
16,GNB,83.708571,CAR,70.100000,W,W
17,JAX,89.340000,CAR,72.512000,W,W
18,TAM,88.773750,CAR,70.441250,W,W
1,GNB,NULL,CHI,NULL,W,NULL
2,TAM,86.720000,CHI,83.040000,W,W
3,KAN,86.470000,CHI,76.790000,W,W
4,DEN,87.746666,CHI,65.346666,W,W
5,WAS,87.035000,CHI,80.310000,L,W
6,MIN,101.904000,CHI,91.124000,W,W
7,LVR,80.630000,CHI,86.073333,L,L
8,LAC,101.706666,CHI,89.060000,W,W
