Rnd,number,Player,TFR_Points,Team,Opp,Minutes,Points,Tries,Seven_point_tries,Conversions_attempted,Conversions_successful,PK_attempted,PK_successful,Kicking_success_pct,Drop_kicks_attempted,Successful_drop_kicks,Carries,Metres_run,Metres_gained,Avg_metres_gained,Clean_breaks,Ball_carry_into_breakdown,Offloads,Defenders_beaten,Total_passes,Successful_passes,Pass_accuracy_pct,First_and_second_breakdown_arrivals,Third_breakdown_arrivals,Tackles_attempted,Tackles_made,Tackles_missed,Tackles_made_pct,Dominant_tackles,Offloads_in_tackle,Defensive_turnovers_won,Defensive_breakdown_arrivals,First_defending_breakdown_arrivals,Breakdown_turnovers_won,Turnovers_conceded,General_play_kicks,General_play_kick_errors,Penalties_conceded,Free_kicks_conceded,Yellow_cards,Red_cards,Try_assists,Def_bonus,Off_bonus
1,1,Cameron Orr,4.4,Seattle Seawolves,SDL,78,0,0,0,0,0,0,0,0,0,0,5,36,26,5,0,5,0,1,1,1,100,14,2,6,6,0,0,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0
1,1,Dane Zander,5.9,RFC Los Angeles,DAL,83,0,0,0,0,0,0,0,0,0,0,8,33,31,4,0,7,1,0,2,2,100,15,1,7,6,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,Emerson Prior,-0.1,Utah Warriors,HOU,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,3,0,0,0,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0
1,1,Ezekiel Lindenmuth,4.8,Houston Sabercats,UTAH,57,0,0,0,0,0,0,0,0,0,0,7,28,26,4,0,7,0,0,0,0,0,4,0,10,9,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,1,Foster Dewitt,2.9,New England Free Jacks,ARC,48,0,0,0,0,0,0,0,0,0,0,1,5,5,5,0,1,0,0,2,2,100,10,3,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Jack Iscaro,3.8,Old Glory DC,NOLA,76,0,0,0,0,0,0,0,0,0,0,7,36,29,4,0,7,0,0,1,1,100,8,0,9,8,1,0,0,0,0,7,5,0,4,0,0,1,2,0,0,0,0,0
1,1,Jake Turnbull,3.7,Anthem RC,NEFJ,67,0,0,0,0,0,0,0,0,0,0,6,37,24,4,0,6,0,0,1,0,0,4,1,11,11,0,0,0,1,0,2,2,0,4,0,0,4,0,0,0,0,0,0
1,1,Matt Harmon,1.3,NOLA Gold,OGDC,53,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,7,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Nicolas Revol Pitt,1.9,Dallas Jackals,LA,44,0,0,0,0,0,0,0,0,0,0,3,20,20,7,0,3,0,0,1,1,100,4,0,3,3,0,0,1,0,0,2,2,0,2,0,0,2,0,0,0,0,0,0
1,1,Payton Telea-Ilalio,-5.4,San Diego Legion,SEA,52,0,0,0,0,0,0,0,0,0,0,5,22,16,3,0,3,2,0,1,1,100,6,0,8,5,3,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1,1,Rob Evans,0.4,Miami Sharks,CHI,61,0,0,0,0,0,0,0,0,0,0,2,9,7,4,0,1,0,0,1,1,100,3,0,5,4,1,0,0,0,0,1,1,0,3,0,0,2,0,0,0,0,0,0
