Week,Team,team_sum
1,ARI,69.28
1,ATL,85.10
1,BAL,73.76
1,BUF,80.24
1,CAR,61.74
1,CHI,78.64
1,CIN,41.38
1,CLE,82.36
1,DAL,101.22
1,DEN,77.68
1,DET,86.42
1,GNB,112.50
1,HOU,69.28
1,IND,79.52
1,JAX,114.94
1,KAN,71.44
1,LAC,103.26
1,LAR,110.46
1,LVR,80.60
1,MIA,122.54
1,MIN,94.96
1,NOR,91.10
1,NWE,104.34
1,NYG,30.36
1,NYJ,85.00
1,PHI,86.50
1,PIT,54.18
1,SEA,49.28
1,SFO,118.80
1,TAM,77.92
1,TEN,68.42
1,WAS,77.98
2,ARI,90.92
2,ATL,99.78
2,BAL,100.98
2,BUF,119.76
2,CAR,81.22
2,CHI,70.54
2,CIN,83.38
2,CLE,89.00
2,DAL,119.90
2,DEN,90.42
2,DET,103.02
2,GNB,70.34
2,HOU,91.76
2,IND,84.34
2,JAX,73.00
2,KAN,87.80
2,LAC,100.40
2,LAR,102.88
2,LVR,44.70
2,MIA,94.76
2,MIN,109.06
2,NOR,75.12
2,NWE,75.74
2,NYG,101.94
2,NYJ,45.00
2,PHI,112.52
2,PIT,90.28
2,SEA,112.52
2,SFO,90.64
2,TAM,118.88
2,TEN,88.64
2,WAS,109.26
3,ARI,89.66
3,ATL,36.64
3,BAL,83.18
3,BUF,121.32
3,CAR,102.74
3,CHI,40.86
3,CIN,92.56
3,CLE,113.16
3,DAL,86.26
3,DEN,66.94
3,DET,104.22
3,GNB,82.96
3,HOU,106.20
3,IND,103.98
3,JAX,76.26
3,KAN,121.28
3,LAC,124.66
3,LAR,75.46
3,LVR,94.96
3,MIA,187.86
3,MIN,104.88
3,NOR,72.92
3,NWE,77.84
3,NYG,45.98
3,NYJ,52.38
3,PHI,110.48
3,PIT,95.00
3,SEA,104.24
3,SFO,124.40
3,TAM,48.14
3,TEN,36.66
3,WAS,41.00
4,ARI,90.90
4,ATL,62.34
4,BAL,99.64
4,BUF,137.60
4,CAR,76.16
4,CHI,121.40
4,CIN,43.40
4,CLE,41.54
4,DAL,108.24
4,DEN,86.82
4,DET,111.70
4,GNB,55.04
4,HOU,120.08
4,IND,62.30
4,JAX,102.78
4,KAN,77.72
4,LAC,82.38
4,LAR,120.66
4,LVR,75.22
4,MIA,81.48
4,MIN,81.96
4,NOR,53.02
4,NWE,38.68
4,NYG,53.62
4,NYJ,81.10
4,PHI,124.96
4,PIT,41.36
4,SEA,93.20
4,SFO,107.92
4,TAM,106.94
4,TEN,104.88
4,WAS,90.40
5,ARI,66.74
5,ATL,90.04
5,BAL,74.44
5,BUF,91.36
5,CAR,75.98
5,CHI,133.28
5,CIN,131.18
5,DAL,41.82
5,DEN,86.04
5,DET,117.34
5,GNB,62.28
5,HOU,72.06
5,IND,88.70
5,JAX,102.70
5,KAN,94.84
5,LAR,68.58
5,LVR,86.02
5,MIA,119.82
5,MIN,84.66
5,NOR,110.72
5,NWE,26.08
5,NYG,61.16
5,NYJ,102.56
5,PHI,112.32
5,PIT,94.06
5,SFO,138.38
5,TEN,78.06
5,WAS,95.22
6,ARI,64.40
6,ATL,89.08
6,BAL,96.22
6,BUF,69.26
6,CAR,75.48
6,CHI,58.72
6,CIN,74.60
6,CLE,80.88
6,DAL,93.28
6,DEN,43.90
6,DET,101.32
6,HOU,72.46
6,IND,95.66
6,JAX,96.54
6,KAN,113.14
6,LAC,84.98
6,LAR,98.54
6,LVR,84.78
6,MIA,128.48
6,MIN,87.04
6,NOR,91.12
6,NWE,69.80
6,NYG,75.90
6,NYJ,79.04
6,PHI,88.10
6,SEA,81.04
6,SFO,60.80
6,TAM,47.64
6,TEN,57.56
6,WAS,83.04
7,ARI,59.24
7,ATL,80.30
7,BAL,128.88
7,BUF,95.10
7,CHI,103.08
7,CLE,91.22
7,DEN,84.06
7,DET,74.16
7,GNB,70.60
7,IND,108.10
7,JAX,89.96
7,KAN,140.76
7,LAC,75.36
7,LAR,74.44
7,LVR,60.40
7,MIA,71.94
7,MIN,117.12
7,NOR,94.34
7,NWE,95.78
7,NYG,94.96
7,PHI,116.66
7,PIT,86.00
7,SEA,79.86
7,SFO,73.48
7,TAM,84.90
7,WAS,65.26
8,ARI,94.02
8,ATL,68.20
8,BAL,91.98
8,BUF,107.66
8,CAR,78.80
8,CHI,64.08
8,CIN,104.52
8,CLE,83.12
8,DAL,137.96
8,DEN,90.16
8,DET,120.88
8,GNB,71.36
8,HOU,57.90
8,IND,85.42
8,JAX,109.08
8,KAN,64.70
