id,Name,Team,Position,Points
1,Jayson Potroz,NEFJ,FH,209.2949034
2,Wayne van der Bank,NEFJ,C,204.8193351
3,Te Rangatira Waitokia,ARC,B3,204.3918954
4,Divan Rossouw,SEA,B3,203.5050635
5,Semi Kunatani,LA,BR,173.8522537
6,Santiago Videla,MIA,FH,194.9497685
7,Reece Macdonald,NEFJ,B3,192.0451199
8,Tomas Cubilla,MIA,C,190.4490863
9,Andrew Coe,LA,B3,185.3360429
10,Jade Stighling,SEA,B3,182.6337693
11,Jonah Mau'u,NOLA,BR,153.4092061
12,Jason Robertson,OGDC,FH,178.51162
13,Tiaan Loots,SDL,C,174.8941408
14,Felipe Etcheverry,MIA,FH,173.654371
15,Nick Grigg,MIA,C,172.5093506
16,Vaughan Isaacs,LA,B3,171.3090472
17,Dan Kriel,SEA,C,170.4033606
18,Damien Hoyland,OGDC,B3,167.9420476
19,Mack Mason,SEA,FH,167.9350199
20,Junior Gafa,ARC,C,167.7696255
21,Davy Coetzer,HOU,B3,167.3277648
22,Bryce Campbell,CHI,C,166.324162
23,Joel Hodgson,UTAH,FH,165.3663691
24,Frank Lochore,UTAH,SR,139.1710687
25,Rodney Iona,SEA,FH,163.4818628
26,Manuel Ardao,MIA,BR,137.8861731
27,Cory Daniel,OGDC,BR,135.9830977
28,Dylan Fawsitt,CHI,FR,135.8318577
29,Ed Fidow,NOLA,B3,161.2446836
30,Billy Meakes,LA,C,160.3840747
31,Connor Tupai,SDL,SH,160.1414702
32,William Talataina,OGDC,C,159.8517464
33,Sam Tuifua,HOU,BR,133.3945095
34,AJ Alatimu,HOU,FH,158.5583589
35,Tomas Aoake,SDL,B3,158.2674594
36,Dylan Nel,UTAH,BR,131.6935546
37,Nate Augspurger,CHI,B3,156.2001845
38,Tomas Malanos,LA,B3,155.7729819
39,Ronan Foley,MIA,BR,129.6341379
40,Tomas Inciarte,MIA,C,154.9735471
41,Tommaso Boni,OGDC,C,154.9308493
42,Benjamin Bonasso,MIA,BR,129.1691242
43,Paul Lasike,UTAH,C,154.2616878
44,Axel Muller,OGDC,B3,154.1599687
45,Tautalatasi Tasi,HOU,C,152.6212375
46,Toni Pulu,SEA,B3,152.2740567
47,Ryan James,SDL,B3,152.1236087
48,Adriaan Carelse,CHI,FH,151.8265315
49,Wian Conradie,NEFJ,BR,125.9906104
50,Pita Ah Sue,HOU,FR,125.3986169
51,Riekert Hattingh,SEA,BR,125.145592
52,Jason Damm,LA,BR,123.9439737
53,Marcel Brache,SDL,B3,149.0968703
54,Maclean Jones,CHI,BR,123.5705553
55,Dan Hollinshead,LA,FH,148.499212
56,Jeronimo Gomez Vara,NEFJ,BR,122.9328895
57,James Stokes,LA,C,147.8555838
58,Martin Vaca,OGDC,FR,122.0620163
59,Sam Golla,ARC,SR,121.8285959
60,Monatae Akuei Gai,SEA,BR,120.3445181
61,Siaosi Nai,ARC,Bench,59.28943026
62,Declan Moore,ARC,FR,119.7720508
63,Max Katjijeko,LA,Bench,59.20744144
64,Nic Benn,UTAH,B3,144.51718
65,Andre Warner,HOU,SH,144.4210811
66,Perry Humphreys,OGDC,B3,144.283505
67,Conall Boomer,CHI,BR,118.03258
68,Dorian Jones,NOLA,FH,143.3576631
69,Chicago Hounds,CHI,DSP,45.32670383
70,Makeen Alikhan,ARC,BR,117.662498
71,Julian Dominguez,CHI,B3,143.0507823
72,Mika Kruse,UTAH,C,143.0179226
73,Sione Latu Jr,UTAH,Bench,56.66998206
74,Janus Venter,CHI,Bench,56.31873234
75,Huw Taylor,SEA,BR,116.6888546
76,Mark O'Keeffe,CHI,C,141.0239972
77,Sam Hill,HOU,C,140.9577048
78,Lucas Rumball,CHI,Bench,54.61272889
79,Charles Elton,SEA,BR,114.9893598
80,Justin Basson,HOU,SR,114.8709811
81,Albert O'Shannessey,ARC,BR,114.7699694
82,Onehunga Havili,UTAH,Bench,54.17146754
83,Sebastien Zaridze,ARC,Bench,53.81329607
84,Old Glory DC,OGDC,DSP,41.49156355
85,Houston SaberCats,HOU,DSP,41.24387494
86,Tomasi Alosio,ARC,B3,139.029525
87,Mason Flesch,CHI,BR,113.4287618
88,Lincoln McClutchie,SDL,FH,138.2236477
89,Tinashe Muchena,CHI,Bench,51.61892082
90,Andrew Quattrin,NEFJ,FR,112.1123854
91,Mike Matarazzo,CHI,Bench,51.56830954
92,Martin Elias,MIA,FH,137.4561055
93,Oscar Koller,ARC,FH,137.4112649
94,Michael Amiras,LA,BR,111.2707796
95,Dan Pryor,MIA,BR,111.0547025
96,Tomas Casares,MIA,SR,111.0421173
97,Joe Mano,UTAH,B3,136.4468837
98,Ethan Grayson,SDL,C,136.1464222
99,Tupou Afungia,NOLA,BR,110.4931538
100,Paula Balekana,NEFJ,B3,135.71716
101,Brandon Harvey,SDL,Bench,49.44647154
102,Seth Smith,HOU,Bench,49.36712803
103,Tevita Naqali,OGDC,SR,109.8630875
104,Moni Tonga'uiha,NOLA,BR,109.7521204
105,Marcos Young,MIA,B3,135.2281728
106,Louritz van der Schyff,HOU,C,135.176096
107,Ben Strang,LA,FR,109.657834
108,JP Du Plessis,NOLA,C,135.0114886
109,Harris Rutherford,SDL,Bench,48.98151905
110,Cliven Loubser,ARC,FH,134.8393001
111,Brady Daniel,OGDC,Bench,48.41646559
112,Ronan Murphy,HOU,BR,108.7654496
113,Joe Wrafter,OGDC,Bench,48.17954159
114,Seattle Seawolves,SEA,DSP,36.10427918
115,Devin Short,SEA,BR,108.5284114
116,Jed Melvin,NEFJ,BR,108.5236709
117,Rhys Jones,SEA,Bench,47.84549255
118,Martin Sigren,NEFJ,BR,108.005399
119,Duncan Matthews,SEA,B3,133.4029218
120,Jackson Zabierek,CHI,Bench,46.7812359
121,New England Free Jacks,NEFJ,DSP,34.27290372
